μpp,μrpp,μwp,μrwp,L,k
0.005,0.001,0.005,0.001,,
0.005,0.001,0.005,0.001,,
0.5,0.1,0.5,0.1,,
0.005,0.001,0.005,0.001,3.89,1
0.05,0.01,0.1,0.001,0.208,2
0.25,0.05,0.25,0.05,2.056,3
0.1,0.001,0.5,0.01,0.283,4
0.5,0.1,0.5,0.1,3.594,5
0.049999955,0.023999977000000002,0.41499959000000003,0.031999969,0.488,6
0.40999959500000005,0.08399991700000002,0.14499986,0.042999958000000005,1.418,7
0.039999965,0.06099994000000001,0.37499963000000003,0.055999945,0.831,8
0.139999865,0.029999971,0.029999975,0.008999992000000002,1.222,9
0.07499993,0.09499990600000001,0.005,0.02099998,1.025,10
0.349999655,0.09699990400000001,0.005,0.09999990100000002,3.76,11
0.18999981500000002,0.09799990300000001,0.45999954500000007,0.06699993400000001,2.19,12
0.11499989000000001,0.007999993,0.36999963500000005,0.09399990700000001,0.794,13
0.43999956500000004,0.007999993,0.009999995000000001,0.027999973,2.435,14
0.28999971500000005,0.0029999980000000002,0.17999982500000003,0.09699990400000001,1.024,15
0.09499991,0.081999919,0.28999971500000005,0.06699993400000001,1.191,16
0.07499993,0.001,0.034999970000000005,0.022999978,1.395,17
0.11499989000000001,0.09899990200000001,0.31499969,0.001,1.409,18
0.05499995,0.09999990100000002,0.005,0.005999995,0.269,19
0.06999993500000001,0.09999990100000002,0.49999950500000007,0.026999974000000003,1.052,20
0.299999705,0.09999990100000002,0.349999655,0.001,2.99,21
0.14499986,0.001,0.39499961000000006,0.09999990100000002,0.561,22
0.159999845,0.09999990100000002,0.09499991,0.09999990100000002,0.7,23
0.16499984,0.001,0.27499973,0.001,0.576,24
0.27499973,0.001,0.42499958,0.09999990100000002,0.937,25
0.16499984,0.001,0.039999965,0.09999990100000002,0.836,26
0.09499991,0.09999990100000002,0.44499956,0.001,1.397,27
0.389999615,0.001,0.49999950500000007,0.08399991700000002,1.145,28
0.15499985000000002,0.03999996100000001,0.49999950500000007,0.015999985,1.518,29
0.19999980500000003,0.001,0.17999982500000003,0.02099998,0.706,30
0.039999965,0.09999990100000002,0.08499992,0.09699990400000001,0.726,31
0.22499978,0.001,0.014999990000000001,0.044999956,1.782,32
0.18499982,0.001,0.17999982500000003,0.02099998,0.604,33
0.05499995,0.06499993600000001,0.28999971500000005,0.001,0.835,34
0.04499996,0.001,0.005,0.05799994300000001,3.39,35
0.05499995,0.015999985,0.12499988000000002,0.0049999960000000005,0.283,36

